fold,phase,population,model,master_seed,scope,threshold,status,selected,selection_available,selection_reason,selection_source_identity_sha256,accepted,f1,fn,fp,negative,positive,precision,recall,rejected,rows,tn,tp
2023Q2,inner,0.0005,full,,phase_diagnostic,0.3,diagnostic,True,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,438,0.19852448021462105,905,290,2583,1053,0.3378995433789954,0.14055080721747387,3198,3636,2293,148
2023Q2,inner,0.0005,full,,phase_diagnostic,0.4,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,3,0.0,1053,3,2583,1053,0.0,0.0,3633,3636,2580,0
2023Q2,inner,0.0005,full,,phase_diagnostic,0.5,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,0,0.0,1053,0,2583,1053,,0.0,3636,3636,2583,0
2023Q2,inner,0.0005,full,,inner_selection,0.3,diagnostic,True,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,438,0.19852448021462105,905,290,2583,1053,0.3378995433789954,0.14055080721747387,3198,3636,2293,148
2023Q2,inner,0.0005,full,,inner_selection,0.4,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,3,0.0,1053,3,2583,1053,0.0,0.0,3633,3636,2580,0
2023Q2,inner,0.0005,full,,inner_selection,0.5,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,0,0.0,1053,0,2583,1053,,0.0,3636,3636,2583,0
2023Q2,inner,0.0005,sequential_0,0,phase_diagnostic,0.3,diagnostic,True,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,1670,0.36136614028644876,561,1178,2583,1053,0.2946107784431138,0.4672364672364672,1966,3636,1405,492
2023Q2,inner,0.0005,sequential_0,0,phase_diagnostic,0.4,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,36,0.025711662075298437,1039,22,2583,1053,0.3888888888888889,0.013295346628679962,3600,3636,2561,14
2023Q2,inner,0.0005,sequential_0,0,phase_diagnostic,0.5,diagnostic,False,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,1,0.0,1053,1,2583,1053,0.0,0.0,3635,3636,2582,0
2023Q2,inner,0.0005,sequential_0,0,inner_selection,0.3,diagnostic,True,True,,42aaaf4e09edf6a7d4e95eca923bc0a18cca4aa7c29ae5165d32dfaebee123f3,1670,0.36136614028644876,561,1178,2583,1053,0.2946107784431138,0.4672364672364672,1966,3636,1405,492
