stage,policy,cost,arm,period,arm_model_available,blocked.awaiting_strict_quality_return,blocked.causal_unavailable,blocked.filter_rejected,blocked.no_primary_signal,blocked.occupied_or_unresolved,capital_breach,cash,commission,conclusive_equity,conclusive_pnl,conclusive_unrealized,conditional_funding,conditional_scenario_not_lower_bound,counts.entries,counts.entry_cancelled_quality,counts.entry_expired,counts.exits,counts.integrity_events,counts.opportunities,counts.opportunity_causal_unavailable,counts.opportunity_model_unavailable,counts.p1_adverse_liquidation,counts.pending_entries,counts.stop,counts.take_profit,counts.unresolved_at_end,counts.unresolved_events,drawdown_fraction_initial,entries,exits,funding_if_still_open,funding_recorded,known_cash,last_known_equity,mark_count,mark_missing,max_dollar_drawdown,model_available,net_return,open_exposure_ms,opportunities,peak_notional,potential_exposure_unknown,profit_claim,realized_pnl,realized_recorded,recorded_cashflow,scenario_equity,scenario_pnl,scenario_unrealized,slippage_attribution_only,state,turnover_eur,turnover_usd,wall_exposure_ms
development,P0,S0,primary,TOTAL,True,,2769,,3215,274934,False,249996/25,0,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,0,0,249996/25,199997/20,356,191,,,,16496095908,,54599/50,False,False,-4/25,,,,,,0,ENDED,3000,327573/100,23238895908
development,P0,S0,primary,2023Q2,,,2769,,3215,87614,False,,0,,,,0,,,,,,,,,,,,,,,,,2,1,,0,,,,,,True,,5256895908,93600,,,,,-4/25,-4/25,,,,0,,3000,327573/100,7341295908
development,P0,S0,primary,2023Q3,,,,,,93600,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S0,primary,2023Q4,,,,,,93720,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S0,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S0,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S0,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S0,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,primary,TOTAL,True,,2769,,3215,274934,False,399989/40,21/200,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,14577399/365000,14577399/365000,249994/25,399989/40,354,191,,,,16496095550,,109199/100,False,False,-17/100,,,,,,3/100,ENDED,3000,13103/4,23238895550
development,P0,S1,primary,2023Q2,,,2769,,3215,87614,False,,21/200,,,,928149/73000,,,,,,,,,,,,,,,,,2,1,,928149/73000,,,,,,True,,5256895550,93600,,,,,-17/100,-11/40,,,,3/100,,3000,13103/4,7341295550
development,P0,S1,primary,2023Q3,,,,,,93600,False,,0,,,,4968327/365000,,,,,,,,,,,,,,,,,0,0,,4968327/365000,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S1,primary,2023Q4,,,,,,93720,False,,0,,,,4968327/365000,,,,,,,,,,,,,,,,,0,0,,4968327/365000,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S1,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S1,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S1,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,primary,TOTAL,True,,2769,,3215,274934,False,499979/50,21/100,,,,,False,2,,,1,5870,280920,154044,0,,2,1,,1,1,,,,3644283/45625,3644283/45625,199993/20,49998/5,358,191,,,,16496105844,,109203/100,False,False,-21/100,,,,,,3/20,ENDED,3000,327577/100,23238905844
development,P0,S2,primary,2023Q2,,,2769,,3215,87614,False,,21/100,,,,232033/9125,,,,,,,,,,,,,,,,,2,1,,232033/9125,,,,,,True,,5256905844,93600,,,,,-21/100,-21/50,,,,3/20,,3000,327577/100,7341305844
development,P0,S2,primary,2023Q3,,,,,,93600,False,,0,,,,1242059/45625,,,,,,,,,,,,,,,,,0,0,,1242059/45625,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S2,primary,2023Q4,,,,,,93720,False,,0,,,,1242059/45625,,,,,,,,,,,,,,,,,0,0,,1242059/45625,,,,,,True,,5623200000,93720,,,,,0,0,,,,0,,0,0,7948800000
development,P0,S2,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,False,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P0,S2,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P0,S2,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,primary,TOTAL,True,95,59911,,91405,125983,False,386250688316825185283/40000000000000000,0,,,,,True,3240,80,206,3240,9028,280920,154044,0,1106,3526,1728,406,0,1106,,,,0,0,249996/25,199997/20,8593053,2,,,,7632627732,,5524/5,False,False,-13749311683174814717/40000000000000000,,,386250688316825185283/40000000000000000,-13749311683174814717/40000000000000000,0,0,ENDED,6480000,55823006140072182876937/8000000000000000,11437827732
development,P1,S0,primary,2023Q2,,,28473,,63846,1279,False,,0,,,,0,,,,,,,,,,,,,,,,,2,2,,0,,,,,,True,,76737504,93600,,,,,-229/100,-229/100,,-229/100,,0,,4000,436553/100,249537504
development,P1,S0,primary,2023Q3,,54,20666,,22953,48485,False,,0,,,,0,,,,,,,,,,,,,,,,,1302,1301,,0,,,,,,True,,2938278234,93600,,,,,-1143403602684567697/8000000000000000,-1143403602684567697/8000000000000000,,-1133083602684567697/8000000000000000,,0,,2603000,22483517907901386328381/8000000000000000,4417878234
development,P1,S0,primary,2023Q4,,41,10772,,4606,76219,False,,0,,,,0,,,,,,,,,,,,,,,,,1936,1937,,0,,,,,,True,,4617611994,93720,,,,,-992586708718997029/5000000000000000,-992586708718997029/5000000000000000,,-999036708718997029/5000000000000000,,0,,3873000,8326140998042699137139/2000000000000000,6770411994
development,P1,S0,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S0,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S1,primary,TOTAL,True,90,59911,,91402,125931,False,13649642073459225258559/1460000000000000000,231,,,,,True,3300,77,209,3300,9028,280920,154044,0,1111,3586,1785,404,0,1111,,,,0,14321443/730000,399989/40,399989/40,8594127,2,,,,7631366283,,110481/100,False,False,-8006233432065407417/20000000000000000,,,13649642073459225258559/1460000000000000000,-950357926540774741441/1460000000000000000,0,1549/25,ENDED,6600000,142141277935723639787919/20000000000000000,11436566283
development,P1,S1,primary,2023Q2,,,28473,,63846,1279,False,,7/50,,,,0,,,,,,,,,,,,,,,,,2,2,,54597/365000,,,,,,True,,76737146,93600,,,,,-58/25,-952497/365000,,-952497/365000,,1/25,,4000,218277/50,249537146
development,P1,S1,primary,2023Q3,,50,20666,,22954,48460,False,,18627/200,,,,0,,,,,,,,,,,,,,,,,1331,1330,,5829351/730000,,,,,,True,,2937629447,93600,,,,,-3336784465560230463/20000000000000000,-391221067985896823799/1460000000000000000,,-389352267985896823799/1460000000000000000,,628/25,,2661000,57454440468005405449427/20000000000000000,4417229447
development,P1,S1,primary,2023Q4,,40,10772,,4602,76192,False,,5509/40,,,,0,,,,,,,,,,,,,,,,,1967,1968,,4191449/365000,,,,,,True,,4616999690,93720,,,,,-2311524483252588477/10000000000000000,-277663435277438958821/730000000000000000,,-278597835277438958821/730000000000000000,,184/5,,3935000,21149881666929558584623/5000000000000000,6769799690
development,P1,S1,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S1,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S1,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S1,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,primary,TOTAL,True,96,59912,,91422,125326,False,25182863634934522985657/2920000000000000000,13447/25,,,,,True,3842,89,233,3842,9028,280920,154044,0,1085,4164,2371,386,0,1085,,,,0,14210557/365000,499979/50,49998/5,8572072,2,,,,7601809136,,22097/20,False,False,-31956743959801054991/40000000000000000,,,25182863634934522985657/2920000000000000000,-4017136365065477014343/2920000000000000000,0,3649/10,ENDED,7684000,331061447996725231544189/40000000000000000,11234209136
development,P1,S2,primary,2023Q2,,,28473,,63846,1279,False,,7/25,,,,0,,,,,,,,,,,,,,,,,2,2,,13649/45625,,,,,,True,,76747440,93600,,,,,-119/50,-270023/91250,,-270023/91250,,1/5,,4000,109138/25,249547440
development,P1,S2,primary,2023Q3,,53,20666,,22961,48251,False,,21049/100,,,,0,,,,,,,,,,,,,,,,,1504,1503,,582943/36500,,,,,,True,,2926779634,93600,,,,,-12005057907180676251/40000000000000000,-1537635467224189366323/2920000000000000000,,-1534014667224189366323/2920000000000000000,,716/5,,3007000,207881072774304736959/64000000000000,4406379634
development,P1,S2,primary,2023Q4,,43,10773,,4615,75796,False,,32711/100,,,,0,,,,,,,,,,,,,,,,,2336,2337,,1654387/73000,,,,,,True,,4598282062,93720,,,,,-992824302631018937/2000000000000000,-123543008092064382401/146000000000000000,,-123724048092064382401/146000000000000000,,443/2,,4673000,100480578356392385472407/20000000000000000,6578282062
development,P1,S2,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S2,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
confirmation,P0,S0,primary,TOTAL,True,,1294,,1572,374412,False,20001666606858667469/2000000000000000,0,,,,,False,2,,,1,4992,377280,65581,0,,2,,1,1,1,,,,0,0,20001666606858667469/2000000000000000,20001266606858667469/2000000000000000,1690,260,,,,22464836650,,109507/100,False,False,1666606858667469/2000000000000000,,,,,,0,ENDED,3000,6568606606858667469/2000000000000000,31450436650
confirmation,P0,S0,primary,2024Q1,,,1294,,1572,90792,False,,0,,,,0,,,,,,,,,,,,,,,,,2,1,,0,,,,,,True,,5447636650,93660,,,,,1666606858667469/2000000000000000,1666606858667469/2000000000000000,,,,0,,3000,6568606606858667469/2000000000000000,7690436650
confirmation,P0,S0,primary,2024Q2,,,,,,93600,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7862400000
confirmation,P0,S0,primary,2024Q3,,,,,,95040,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5702400000,95040,,,,,0,0,,,,0,,0,0,7948800000
confirmation,P0,S0,primary,2024Q4,,,,,,94980,False,,0,,,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,,True,,5698800000,94980,,,,,0,0,,,,0,,0,0,7948800000
confirmation,P0,S0,filtered,TOTAL,True,1959,49068,309726,16513,13,False,199941/20,0,199941/20,-59/20,0,,False,1,,,1,9938,377280,65581,0,,1,1,,0,,141/200000,,,0,0,199941/20,199941/20,5659,0,141/20,,-59/200000,839218,,103737/100,False,False,-59/20,,,199941/20,-59/20,0,0,ENDED,2000,207769/100,839218
confirmation,P0,S0,filtered,2024Q1,,344,3601,86141,3574,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93660,,,,,0,0,,0,,0,,0,0,0
confirmation,P0,S0,filtered,2024Q2,,644,16779,71320,4857,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
confirmation,P0,S0,filtered,2024Q3,,541,18082,71728,4689,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,95040,,,,,0,0,,0,,0,,0,0,0
confirmation,P0,S0,filtered,2024Q4,,430,10606,80537,3393,13,False,,0,,-59/20,,0,,,,,,,,,,,,,,,,,1,1,,0,,,,,141/20,True,,839218,94980,,,,,-59/20,-59/20,,-59/20,,0,,2000,207769/100,839218
confirmation,P0,S1,primary,TOTAL,True,,1294,,1572,374412,False,20001456606858667469/2000000000000000,21/200,,,,,False,2,,,1,4992,377280,65581,0,,2,,1,1,1,,,,1992991/36500,1992991/36500,20001456606858667469/2000000000000000,20001096606858667469/2000000000000000,1685,260,,,,22464833701,,21901/20,False,False,1666606858667469/2000000000000000,,,,,,1/50,ENDED,3000,6568606606858667469/2000000000000000,31450433701
confirmation,P0,S1,primary,2024Q1,,,1294,,1572,90792,False,,21/200,,,,1949189/146000,,,,,,,,,,,,,,,,,2,1,,1949189/146000,,,,,,True,,5447633701,93660,,,,,1666606858667469/2000000000000000,1456606858667469/2000000000000000,,,,1/50,,3000,6568606606858667469/2000000000000000,7690433701
confirmation,P0,S1,primary,2024Q2,,,,,,93600,False,,0,,,,1992991/146000,,,,,,,,,,,,,,,,,0,0,,1992991/146000,,,,,,True,,5616000000,93600,,,,,0,0,,,,0,,0,0,7862400000
confirmation,P0,S1,primary,2024Q3,,,,,,95040,False,,0,,,,503723/36500,,,,,,,,,,,,,,,,,0,0,,503723/36500,,,,,,True,,5702400000,95040,,,,,0,0,,,,0,,0,0,7948800000
confirmation,P0,S1,primary,2024Q4,,,,,,94980,False,,0,,,,503723/36500,,,,,,,,,,,,,,,,,0,0,,503723/36500,,,,,,True,,5698800000,94980,,,,,0,0,,,,0,,0,0,7948800000
confirmation,P0,S1,filtered,TOTAL,True,1959,49068,309726,16513,13,False,999703/100,7/100,999703/100,-297/100,0,,False,1,,,1,9938,377280,65581,0,,1,1,,0,,281/400000,,,0,0,999703/100,999703/100,5658,0,281/40,,-297/1000000,839165,,25934/25,False,False,-29/10,,,999703/100,-297/100,0,1/50,ENDED,2000,103881/50,839165
